id,ano_base,tipo_normalizado,tipo,titulo,resumo,autoria,orientacao,ies,nome_programa,area,regiao,uf,idioma,confianca,origem,justificativa,lote
338,2022,Dissertação,DISSERTAÇÃO,LITERATURA A VÁRIAS MÃOS: OS “ACCOMMODADOS AO FÔRO DO BRAZIL” NO SÉCULO XIX.,"Enquanto as conexões entre as tradições jurídicas brasileira e portuguesa foram bastante exploradas na historiografia, especialmente considerando aspectos políticos e institucionais, as relações entre os discursos jurídicos nos dois países merecem mais aprofundamento, especialmente considerando a formação da literatura jurídica brasileira ao longo do século XIX. Umas das melhores representações dessas relações se encontra nas chamadas ‘acomodações’, compreendidas como uma forma de adaptar a literatura jurídica estrangeira à prática brasileira, tornando-a acessível e intermediando o contato entre os práticos brasileiros e os textos estrangeiros. Esse gênero de literatura jurídica, fortemente vinculado aos manuais de prática portugueses, teve ampla repercussão no século XIX, com algumas publicações a ele ligadas mesmo no início do século XX. Nesta dissertação, a proposta foi trabalhar esses textos como representações de uma prática localizada que estabelecia relações com outros textos a partir de um regime localizado, tomando como referenciais a história do livro e da literatura enquanto em diálogo com problemas próximos à história do direito, considerando quem acomodava, o que acomodava, para quem, de qual forma, com quais intenções e com quais consequências. Para isso, foram considerados três títulos: a Doutrina das Acções de J. H. Corrêa Telles, as Primeiras Linhas sobre o Processo Civil de J. J. C. Pereira e Souza e o Tratado da Prova em Matéria Criminal de C. J. A. Mittermaier – todos acomodados explicitamente ao menos uma vez no Brasil por autores como A. Teixeira de Freitas e F. C. Pontes de Miranda. Foram discutidos: (i) o contexto geral de produção desses textos; (ii) os processos de circulação dos exemplares, bem como os modelos de acomodação adotados em cada uma das edições; e (iii) os significados possíveis da ideia de acomodação jurídica no Brasil através desses três títulos. A partir do levantamento, a sugestão é de que, apesar das regularidades encontradas nas edições vinculadas a esses títulos, seriam identificáveis ao menos três modelos de acomodação jurídica ao longo do período estudado, que se relacionam de modo diferente com o repertório genérico das acomodações, com a autoridade dos textos fixados como originais e com outros textos.",GREGORIO SCHRODER SLIWKA,ALFREDO DE JESUS DAL MOLIN FLORES,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,DIREITO,DIREITO,SUL,RS,Português,10,Corpus 1,"Estuda a formação da literatura jurídica brasileira no século XIX por meio de fontes primárias (edições históricas), dialogando com história do livro e historiografia jurídica, reconstituindo práticas e significados em seus próprios termos de época. O passado é inequivocamente o objeto autônomo da pesquisa.",360
339,2022,Dissertação,DISSERTAÇÃO,HERMENÊUTICA DO DOMÍNIO DE TERRAS NO BRASIL: DAS SESMARIAS À PROPRIEDADE PRIVADA – O CASO DA FAZENDA SANTA CRUZ,"A dinâmica de ocupação do espaço da chamada Zona Oeste do Estado do Rio de Janeiro é fortemente marcada pela abundância de litígios fundiários estabelecidos na região ao longo da história. Permeia controvérsias deste tipo a suspeita acerca da validade dos títulos, frequentemente maculada por retumbantes acusações de grilagens de terras, fundamentadas na indefinição de domínios e alegações de toda a sorte de problemas na medição dos terrenos. Exemplo emblemático é a façanhosa celeuma estabelecida entre os que se dizem “donos” da Barra da Tijuca. A hipótese que ora se defende é de que a construção do direito de propriedade no Brasil possui determinadas peculiaridades resultantes da adoção do sistema de concessão de sesmarias no mister da empreitada colonial de ocupação efetiva do território ocorrida a contar do século XVI. Analisando-se a história de urbanização da área da antiga Fazenda Santa Cruz, atualmente o espaço compreendido pelo bairro homônimo e adjacências, pretende-se evidenciar que os inúmeros problemas existentes, até os dias atuais, no tocante à regularização fundiária na região, possuem raízes nos desdobramentos jurídico-político- administrativos resultantes do insucesso e gradual extinção do sistema de sesmarias, adotado no mister da ocupação, colonização, distribuição e aproveitamento do solo no Brasil.",REGINA DE PAIVA ALBAN,MARCUS FABIANO GONCALVES DA SILVA,UNIVERSIDADE FEDERAL FLUMINENSE,DIREITO CONSTITUCIONAL,DIREITO,SUDESTE,RJ,Português,7,Corpus 1,"O trabalho analisa o sistema de sesmarias desde o século XVI e sua extinção como objeto de estudo em si, reconstruindo desdobramentos jurídico-político-administrativos históricos. Contudo, a orientação final aponta para explicar problemas fundiários atuais, o que reduz levemente a confiança.",349
340,2022,Dissertação,DISSERTAÇÃO,A CONTRIBUIÇÃO DE JOÃO MANGABEIRA PARA A REFORMULAÇÃO DO ESTADO FEDERAL (1930-1934),"Na história constitucional, a contribuição de juristas é um ponto relevante, na medida em que permite identificar certas perspectivas e como estas influenciaram o contexto, os conceitos e fórmulas jurídicas. João Mangabeira atuou em diversas etapas do processo de elaboração constitucional de 1933-1934, seja integrando a subcomissão do Itamaraty ou em debates indiretos no âmbito da Assembleia Nacional Constituinte. Dentre as inúmeras questões evidenciadas pelo jurista, destaca-se a forma como defendia a organização do Estado federal brasileiro, a partir de uma linha de pensamento sustentada pela articulação dos atores políticos e a consolidação de interesses nacionais. Assim, o trabalho contribui para ampliar as análises sobre os processos constituintes e os temas correlatos, a partir do trabalho dos juristas. Tal perspectiva garante não apenas uma problematização das questões ligadas ao direito constitucional, mas amplia e valoriza as contribuições de atores que participaram de momentos decisivos da história constitucional brasileira. Partindo de tais elementos, pode se questionar como as contribuições de João Mangabeira influenciaram o modelo de federalismo implantado com a Constituição de 1934? Para tanto, o trabalho se volta para a participação de João Mangabeira na subcomissão do Itamaraty, bem como para a defesa do anteprojeto por meio de escritos jornalísticos que, publicados paralelamente às votações na Assembleia Nacional Constituinte, defendiam o anteprojeto das críticas parlamentares. Durante os anos de 1930 e 1934, desenvolveu-se no Brasil um espaço de debate fértil quanto à reivindicação constitucional e ao modelo de Estado federal, sendo que foi nesse contexto que as posições de João Mangabeira enquanto comissário se tornaram conhecidas e difundidas perante os demais membros da subcomissão do Itamaraty e em relação aos parlamentares que analisaram o anteprojeto. Assim, objetivou-se trazer as contribuições de João Mangabeira em dois recortes específicos: no ambiente institucionalizado do anteprojeto e na defesa pública das teses oriundas da subcomissão perante a imprensa. Com tal análise, o trabalho permite conhecer a forma como o federalismo foi um tema de importante debate na década de 1930, constituindo um foco de preocupação para João Mangabeira. Para cumprir com os objetivos, a metodologia empregada no trabalho se utilizou de elementos da história constitucional, com a finalidade de permitir um estudo de fontes primárias e secundárias em diálogo com o texto jurídico, contexto sociopolítico e econômico e doutrina jurídica. Além da pesquisa de cunho bibliográfico, realizada por meio do estudo e análise da literatura existente, o trabalho se debruçou sobre documentos do período. Ao final, o estudo identificou as linhas de pensamento de João Mangabeira dentro da temática do federalismo e como estas foram defendidas. Ademais, analisou-se como suas teses para o Estado federal contribuíram para o modelo que surgiu com a Constituição de 1934. O trabalho identificou que as ideias de João Mangabeira no processo constituinte de 1933-1934 influenciaram inúmeras questões ligadas ao Estado federal, e como este deveria se reorganizar diante da experiência da Primeira República, permitindo uma nova articulação de forças entre o poder central e os estados baseada na cooperação.",FERNANDO AFONSO MARQUES DE MELO,RAFAEL LAMERA GIESTA CABRAL,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,DIREITO,DIREITO,NORDESTE,RN,Português,9,Corpus 1,"Estuda a atuação de um jurista específico no processo constituinte de 1933-1934 como objeto autônomo, utilizando fontes primárias documentais e jornalísticas do período em diálogo com a historiografia constitucional. O passado é investigado em seus próprios termos.",342
341,2022,Dissertação,DISSERTAÇÃO,A TRAJETÓRIA DA FEDERAÇÃO BRASILEIRA PELO PROGRESSO FEMININO (FBPF) NO PROCESSO DE REGULAMENTAÇÃO DO TRABALHO DAS MULHERES (1930-1934),"Apesar dos avanços na produção acadêmica, permanece nas pesquisas sobre a história social do trabalho na década de 1930 o desafio de recuperar as vivências femininas. Nos estudos em história constitucional, a realidade não é diferente. Mais do que mapear a existência de uma legislação social do trabalho feminino no período e identificar toda uma teia de exploração da mão de obra de mulheres, situá-las em suas reivindicações e lutas por direitos coloca-se também como um problema de pesquisa. Partindo dessa perspectiva, o presente estudo investiga a atuação da Federação Brasileira pelo Progresso Feminino (FBPF) no processo de regulamentação do trabalho feminino entre 1930 e 1934. O período elencado compreende a implementação do Decreto no 21.417-A/1932 (Decreto do Trabalho Feminino) e a promulgação da Constituição de 1934. Para que seja possível viabilizar a pesquisa, empreende-se uma análise histórico-jurídica, que se utiliza do instrumental teórico-metodológico da história constitucional para promover o diálogo entre fontes primárias e secundárias que permitam averiguar o objeto de estudo. Nesse sentido, além de explorar a literatura sobre o tema por via de uma pesquisa bibliográfica, são coletados dados documentais relacionados ao período em questão. Por intermédio dessa análise, percorreu-se o percurso de reivindicações feministas do período no campo trabalhista, levantando-se as estratégias de militância utilizadas pelas mulheres da FBPF para elevar suas pautas sobre o tema à atenção nacional. Essas táticas que foram usadas tanto nas mobilizações em torno do estabelecimento do Decreto 21.417-A, como ao redor da Constituinte de 1933-1934, quando pautas ligadas ao trabalho feminino e à proteção à maternidade foram prioritárias na agenda de direitos da organização. Com a focalização no ativismo da FBPF, foi possível demarcar a atuação de organizações como essa enquanto uma das expressões da importância de recuperar a presença feminina no contexto da regulamentação das condições de trabalho das mulheres. Foram abarcadas também as tensões, conflitos e contradições que circunscreveram esse cenário, o que constitui um importante prisma de investigação para que as narrativas em história constitucional possam incorporar a história das lutas femininas.",AMANDA OLIVEIRA DE SOUSA,RAFAEL LAMERA GIESTA CABRAL,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,DIREITO,DIREITO,NORDESTE,RN,Português,9,Corpus 1,"Investiga a atuação da FBPF no processo de regulamentação trabalhista feminina (1930-1934) como objeto histórico autônomo, com uso de fontes primárias e instrumental teórico-metodológico da história constitucional e social.",342
342,2022,Dissertação,DISSERTAÇÃO,"LEGISLE O POVO PARA SI: REGISTROS, RECORTES E REMINISCÊNCIAS DA IDEALIZAÇÃO, INSTRUMENTALIZAÇÃO E SUBVERSÃO DO DIREITO NUMA CIDADE LIVRE DA ESCRAVIDÃO NO BRASIL IMPERIAL","No início de uma tarde de domingo do trigésimo dia do mês de setembro de 1883, no Palácio da Câmara Municipal da cidade de Mossoró, situada na então província do Rio Grande do Norte, uma associação da sociedade civil realizou uma pomposa cerimônia, na qual, diante de vários cidadãos e de diversas autoridades públicas, proclamou a abolição da escravidão naquela circunscrição; quatro anos, sete meses e treze dias antes da sanção da Lei Áurea. No entanto, a proclamação da abolição da escravidão na cidade de Mossoró não pode ser entendida como um acontecimento de mera relevância local. Na verdade, integra um complexo fenômeno social voltado ao destravamento das estruturas escravistas brasileiras, que se desenrolou por toda a extensão do Império. Enxergar o caso abolicionista mossoroense desperta inevitáveis questionamentos: quais os instrumentos utilizados no processo? Sob qual autoridade os abolicionistas proclamaram a abolição da escravidão nos limites do município? Quais os conflitos econômicos, sociais, políticos e jurídicos decorrentes desta pretensão? Como garantiram a efetividade da declaração abolicionista local até sua abolição formal em 1888? Neste trabalho, portanto, por meio do método historiográfico contextualista, aplicado em uma pesquisa documental e bibliográfica sobre fato histórico da abolição da escravidão em Mossoró, apresento como o movimento abolicionista brasileiro idealizou, instrumentalizou e subverteu o direito para constituir e manter territórios livres da escravidão, antes mesmo da Lei Áurea. Especificamente, (1) contextualizo a abolição da escravidão em Mossoró, por meio da exposição: (a) dos aspectos históricos, econômicos e sociais da cidade; (b) da composição da sua escravaria; (c) das relações senhoriais nela desenvolvidas; e (d) da sua inserção na mobilização abolicionista nacional. A partir destes elementos, (2) proponho uma nova historiografia da abolição em Mossoró, evidenciando: (a) a pluralidade de sujeitos envolvidos em todas as fases de seu desenvolvimento, identificando a participação negra como chave interpretativa de uma natureza sociojurídica do fenômeno abolicionista estudado; (b) os enfrentamentos sociais e institucionais dela decorrentes; e (c) as estratégias de idealização, instrumentalização e subversão do direito empregadas na constituição e manutenção de um território livre da escravidão. Por fim, (3) discorro sobre a coadjuvação do povo negro na luta abolicionista, sustentando uma compreensão plurisubjetiva do resultado histórico da abolição formal da escravidão. Concluo qualificando a abolição da escravidão mossoroense como um complexo processo plurisubjetivo que idealizou, instrumentalizou e subverteu o direito imperial vigente, com o propósito de forçar sua modificação na direção dos ideais de liberdade, dentro de uma mobilização abolicionista nacionalmente organizada e regionalmente articulada, por meio de uma missão clandestina para efetivar a liberdade como um postulado supralegal.",JEFERSON SANTOS TEIXEIRA DA SILVA,MARCELO CASSEB CONTINENTINO,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,DIREITO,DIREITO,NORDESTE,RN,Português,10,Corpus 1,"Pesquisa historiográfica exemplar sobre a abolição da escravidão em Mossoró no Império, com método contextualista, pesquisa documental em fontes primárias e reconstituição das práticas jurídicas do período em seus próprios termos.",342
343,2022,Dissertação,DISSERTAÇÃO,O DEBATE SOBRE O PAPEL CONSTITUCIONAL DAS FORÇAS ARMADAS NA ASSEMBLEIA NACIONAL CONSTITUINTE (1987-1988),"A presente dissertação tem como objetivo estudar a definição do papel constitucional das Forças Armadas na Assembleia Nacional Constituinte (1987-1988), o que tanto abrange as discussões sobre intervenção militar na política, a tese de poder moderador das Forças Armadas, bem como a possibilidade de emprego da força militar nas hipóteses de crise de ordem pública e ataques às instituições democráticas. O trabalho também se preocupa com a definição sobre o arranjo institucional entre a figura política do presidente e os ministros militares subordinados, a possibilidade de criação do Ministério da Defesa comandado por um civil, bem como a permanência ou extinção do Conselho de Segurança Nacional. A pesquisa está inserida no campo da história constitucional, sobretudo numa perspectiva doutrinal, focada nos desdobramentos do processo constituinte e como estiveram inseridos não somente os interesses militares naquele contexto, mas ponderando as repercussões das demandas sociais naquele momento, o que requer uma análise empírica forte não somente ao que ocorria dentro dos espaços de deliberação, mas também os movimentos nas ruas, dentro dos quartéis e as manifestações dos ministros militares no período, debruçando-se tanto sobre fontes documentais e jornalísticas da época, bem como valendo-se de fontes de história oral em que foram colhidos os depoimentos dos generais com papel relevante na Nova República. É possível concluir que o texto promulgado na Constituição de 1988 estabeleceu uma função constitucional para as Forças Armadas que difere da tradição constitucional brasileira, prevendo mais claramente a subordinação dos militares aos poderes constitucionais. Entretanto, ao explorar os debates nas diferentes subcomissões, observa-se que o problema da intervenção militar na política era algo difuso nos diversos espaços de deliberação. Além disso, o processo constituinte foi eminentemente vigiado no que diz respeito aos temas de interesse militar, havendo forte acompanhamento pelo Centro de Informações do Exército e Secretaria-Geral do Conselho de Segurança Nacional. A partir das diversas fontes disponíveis, sobretudo as de história oral em conjunto com as matérias jornalísticas, é possível problematizar a noção de coesão total das forças singulares quanto aos interesses deduzidos no processo constituinte, uma vez que, em determinados casos, como foi a possibilidade de criação do Ministério da Defesa, a posição em comum poderia ter justificativas diversas entre as forças singulares. Enfim, o estudo do processo constituinte permite extrair uma nova abordagem sobre a relação estabelecida entre militares e constituição, que se afasta de uma perspectiva de que os quartéis tiveram sucesso em garantir uma função de poder moderador na nova Constituição, mas empreenderam diversos esforços para ter algum papel a ser desempenhado na segurança interna, especialmente, em hipóteses de crises de ordem pública de grande envergadura. Por um lado, a constatação anterior afasta as leituras de legitimidade para intervenção militar constitucional, mas por outro, repercute em problemas que lhes são próprios, principalmente a vulgarização do emprego militar para garantia da lei e da ordem, o que já se observava durante o processo constituinte, no contexto de greves durante a Nova República.",LUIS EDUARDO VIANA FERNANDES,RAPHAEL PEIXOTO DE PAULA MARQUES,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,DIREITO,DIREITO,NORDESTE,RN,Português,8,Corpus 1,"Reconstitui o processo constituinte de 1987-1988 como objeto histórico, utilizando fontes documentais, jornalísticas e de história oral do período. O passado é tratado em sua especificidade, embora haja alguma tensão com preocupações sobre o presente.",342
344,2022,Dissertação,DISSERTAÇÃO,DESAPROPRIAÇÃO ENTRE A PROTEÇÃO E A EXPULSÃO: UMA ABORDAGEM SOBRE A REALIDADE JURÍDICA DO CONCEITO DE DESAPROPRIAÇÃO EM SÃO PAULO EM CONTEXTO DE REESCALA GLOBAL,"A desapropriação tem sido utilizada como um instrumento eficaz da política de pilhagem   neoliberal, especialmente nos Estados Unidos e em parte da Europa ocidental. A ideia,   representada pelo caso Kelo vs. City of New London, é o de privatizar espaços por meio do   poder estatal de decretar desapropriação, utilizando “utilidade pública” como sinônimo de   intensificação da atividade econômica privada. O processo não se dá nos mesmos termos no   Brasil, mas ainda assim alterações radicais da semântica da desapropriação têm sido defendidas   silenciosamente por aqui. O principal objetivo da presente dissertação é entender o que isso   realmente significa para a urbanização brasileira, utilizando-se para tanto da descrição das   especificidades da política urbana neoliberal tecida por Neil Brenner com base no conceito de   reescala global. Foi difícil determinar com precisão as origens e o sentido social do conceito de   desapropriação no Brasil, uma vez que a doutrina jurídica nacional, agarrada aos pressupostos   do positivismo, não dá muita evidência ao tema. Durante a pesquisa, ficou claro que as   referências legais, que remontam a 1821, são muito anteriores às referências acadêmicas e   mesmo jornalísticas, as quais só na metade do século XIX começam a tomar o conceito em sua   forma atual. Longe de ser mero sintoma de ineficiência do Poder Público, isso foi fruto de uma   associação inicial entre abolição e desapropriação (os “senhores” de escravos devem ser   indenizados?), que determinou a escolha de palavras como “indenização” em prol de outras   opções disponíveis, assim como delimitou as fronteiras da dialética propriedade/não  propriedade. Após a abolição, a desapropriação se volta ao espaço urbano como modo de dar   vazão à necessidade de fixação espacial do capital. Desde então, o campo semântico desse   conceito é objeto de constante disputa, de Pereira Passos no bota-abaixo do Rio até o golpe de   1964, visando frear as reformas urbana e agrária. Na constituição de 1988, a reforma urbana   finalmente sai das ruas e dos movimentos sociais para virar lei. Porém, por falhas teóricas e   práticas da desapropriação-sanção, esse instrumento nunca se mostrou tão efetivo quanto   promissor. Por outro lado, a neoliberalização da economia desde os anos 90 alterou o coração   da desapropriação, adicionando camadas que atendem às principais reivindicações do Consenso   de Washington: privatização, financeirização e austeridade. Isso significou a manutenção, na   prática da desapropriação, dos antigos padrões de segregação, ao mesmo tempo em que se   criavam novos modos de incremento do poder privado sobre o domínio público. Para seguir   essa linha de argumentação, foi utilizada a História dos conceitos de Koselleck, unindo-se   contextualização semântica e social em um estudo diacrônico. Ainda, deve-se ressaltar o caráter   sociojurídico do presente estudo, conforme preconiza André-Jean Arnaud, o que possibilita a   utilização de aportes da História e de outras áreas do conhecimento em uma pesquisa   propriamente jurídica, de forma a analisar determinada realidade jurídica (e não apenas o estudo   puro e positivo de normas) como campo de interdisciplinaridade.",MARCELO PEZZOLO FARINA,ORLANDO VILLAS BOAS FILHO,UNIVERSIDADE PRESBITERIANA MACKENZIE,DIREITO POLÍTICO E ECONÔMICO,DIREITO,SUDESTE,SP,Português,6,Corpus 1,"Utiliza a História dos Conceitos de Koselleck em estudo diacrônico que reconstrói a semântica histórica da desapropriação desde 1821, articulando fontes históricas e contexto social (abolição, urbanização, reformas). Contudo, o objetivo final é diagnosticar a neoliberalização contemporânea, o que enfraquece a autonomia do passado como objeto.",345
345,2022,Dissertação,DISSERTAÇÃO,DA REVOLUÇÃO À MODERAÇÃO: A RECEPÇÃO DA TEORIA DO GOVERNO MISTO NAS DISCUSSÕES CONSTITUCIONAIS DO IMPÉRIO DO BRASIL (1823-1824),"O objetivo deste trabalho é compreender como os deputados constituintes de 1823 e os  conselheiros constitucionais de 1824 recepcionaram e instrumentalizaram o conceito de  governo misto dentro de sua experiência e de suas expectativas no contexto da construção  do novo Império. O primeiro capítulo recupera a história das metamorfoses pelas quais passou  o conceito, num resumo que cobre referências que vão da antiguidade à revolução francesa.  O segundo corresponde ao exame dos discursos dos Deputados de 1823, a partir dos  registros taquigráficos de suas falas. É possível compreender o que pensavam esses  personagens, que podem ser chamados de “fundadores do Império”, sobretudo por meio do  que se registrou de suas manifestações orais. Finalmente, no terceiro capítulo chegamos aos  projetos de constituição concorrentes, e ao conselho de estado, que fixou uma fórmula de  governo misto já trabalhada em 1823 na carta constitucional 1824. Examinamos também  algumas discussões exógenas às assembleias, além de alguns aspectos dos debates  constitucionais subsequentes à cristalização do texto que vingou, e que resistiu até 1889.",RAFAEL ALVES DA SILVA,ARNO WEHLING,UNIVERSIDADE VEIGA DE ALMEIDA,DIREITO,DIREITO,SUDESTE,RJ,Português,10,Corpus 1,Examina fontes primárias históricas (registros taquigráficos dos constituintes de 1823 e projetos de constituição de 1824) para reconstituir como atores jurídicos do período compreendiam o conceito de governo misto; o passado é objeto autônomo de conhecimento.,362
346,2023,Tese,TESE,UMA ARQUEOLOGIA DO PENSAMENTO JURÍDICO BRASILEIRO: A TRANSPOSIÇÃO E A ADAPTAÇÃO DAS IDÉIAS ESTRANGEIRAS.,"A PESQUISA QUE SE APRESENTA EM FORMA DE TESE DE DOUTORADO, REQUISITO, SE CONCENTRA EM UMA ANÁLISE DENSA DO QUE CHAMAMOS DIREITO BRASILEIRO. AQUI, NÃO SE CONTARÁ A HISTÓRIA DO DIREITO, TODAVIA, ALIAR-SE-Á AO DIREITO, UMA PALAVRA MUITO DIFUNDIDA POR MICHEL FOUCAULT: ARQUEOLOGIA. PAÍS AINDA TENRO, FOI DOMINANDO POR PORTUGAL QUE CÁ ESTABELECEU COLÔNIA E POR 322 ANOS, FICAMOS SEM UM CÓDIGO CIVIL, TODAVIA, ORDENAÇÕES, DECRETOS IMPERIAIS, SEDE DO SÉQUITO PORTUGUÊS EM 1808 NO RIO DE JANEIRO, CENÁRIO DE ESCRAVATURA E TODA UMA SEQUÊNCIA DE “DEPENDÊNCIA” DOS ENSINAMENTOS VINDOS DA EUROPA, ESPECIALMENTE COIMBRA EM LISBOA. DESDE DE 1804, COM O CHAMADO “CÓDIGO NAPOLEÔNICO”, HOUVE UMA CORRIDA LEGIFERANTE EM VÁRIOS PAÍSES POR UM CÓDIGO CIVIL, NÃO FALTANDO O BRASIL COM O PROJETO DE LEI QUE NOS BRINDARIA COM O CÓDIGO TEIXEIRA DE FREITAS, QUEDOU-SE FRUSTRADO. CONCENTRAMOS A PESQUISA NAQUILO QUE PERCEBEMOS NOS PENSAMENTOS E INFLUÊNCIAS DOS JURISTAS BRASILEIROS QUE COMEÇAVAM A PENSAR UM DIREITO PÁTRIO. SE A TENTATIVA DE GRANDES DOUTRINADORES PÁTRIOS FOI FRUSTRADA, VEREMOS EM “SUA CAMADA “ ARQUEOLÓGICA QUE ALCANÇAMOS MAIS PRÓXIMA DO SOLO REAL. A ISSO NOS LANÇAMOS COM AFINCO. NÓS NÃO DISSOCIAMOS O DIREITO DA POLÍTICA COMO NOS ENSINOU NORBERTO BOBBIO, PARA TAL A PREOCUPAÇÃO COM OS TEMPOS DE EXCEÇÃO E ARBÍTRIO DE 1964 A 1985 RECEBERÃO UM TRATAMENTO MAIS DETALHADO DO PESQUISADOR, CONSIDERANDO OS PODERES LEGISLATIVOS E JUDICIÁRIOS MANIETADOS PELOS FERROS DA DITADURA.",SERGIO RICARDO DE FREITAS CRUZ,ARNALDO SAMPAIO DE MORAES GODOY,CENTRO UNIVERSITÁRIO DE BRASÍLIA,DIREITO,"POLÍTICAS PÚBLICAS, ESTADO E DESENVOLVIMENTO",CENTRO-OESTE,DF,Português,6,Corpus 1,"O trabalho propõe-se a reconstituir camadas históricas do pensamento jurídico brasileiro, desde o período colonial e imperial até a ditadura, investigando a recepção de ideias estrangeiras como objeto em si; a abordagem arqueológica foucaultiana orienta o passado como objeto autônomo, embora a delimitação metodológica seja imprecisa.",368
347,2023,Dissertação,DISSERTAÇÃO,AS LEIS HIGIENISTAS DO FINAL DO SÉCULO XIX E A HISTÓRIA DA SAÚDE PÚBLICA EM BELÉM,"O PRESENTE TRABALHO TEM POR OBJETIVO ANALISAR OS INSTRUMENTOS JURÍDICOS DE INTERVENÇÃO QUE ESTRUTURARAM UMA NOVA ORGANIZAÇÃO DE SAÚDE PÚBLICA EM BELÉM DO PARÁ NO FINAL DO SÉCULO XIX E INÍCIO DO SÉCULO XX, POR MEIO DO HIGIENISMO E SANITARISMO UTILIZADO À ÉPOCA DA ABORDAGEM. A HIPÓTESE UTILIZADA É A DE QUE ESTES DOIS MECANISMOS DE CIVILIZAÇÃO DAS CIDADES IMPUSERAM NÃO SOMENTE UMA CONFIGURAÇÃO ESTRUTURAL DE PRÉDIOS E EMBELEZAMENTO DOS ESPAÇOS, BEM COMO UM NOVO ARRANJO NA QUESTÃO DA SAÚDE PÚBLICA. A MOTIVAÇÃO DO TEMA SURGIU COMO CONSEQUÊNCIA DO BINÔMIO PÚBLICO-PRIVADO NO QUE TANGE ÀS MEDIDAS DE SAÚDE ADOTADAS DIANTE DAS MOLÉSTIAS INFECTO-CONTAGIOSAS, UTILIZANDO O MARCO HISTÓRICO DE GRANDE TRANSFORMAÇÃO NA CAPITAL DO F.STADO DO PARÁ NO CICLO ECONÔMICO DO LÁTEX. PARA TANTO, A METODOLOGIA APLICADA A ESTE TRABALHO, ENVOLVENDO INTERDISCIPLINARMENTE HISTÓRIA E DIREITO, ESTÁ FUNDAMENTADA NO MÉTODO HIPOTÉTICO DEDUTIVO POR MEIO DE LEVANTAMENTO BIBLIOGRÁFICO, ANÁLISE DE DOCUMENTOS, ARTIGOS E PERIÓDICOS SOBRE O TEMA. A PESQUISA SE DIVIDE EM TRÊS CAPÍTULOS. NO PRIMEIRO CAPÍTULO, TRATA DA HISTÓRIA DA SAÚDE PÚBLICA NO MUNDO, DAS FAVELAS INDUSTRIAIS ATÉ A CHEGADA DAS QUESTÕES DE SAÚDE EM BELÉM DO GRÃO PARÁ. POR CONTA DO FLAGELO DA CÓLERA. O REFERENCIAL TEÓRICO UTILIZADO É A BIOPOLÍTICA COMUNITÁRIA E IMUNITÁRIA DE ROBERTO ESPOSITO E O HIGIENISMO E SANITARISMO COMO PARADIGMA DE IMUNIZAÇÃO. NO SEGUNDO CAPÍTULO, SE FAZ UMA ANÁLISE DOCUMENTAL DOS RELATÓRIOS DA INTENDÊNCIA DO PERÍODO DE ANTÔNIO LEMOS, ENTRE 1897 E 1908, SOB A ÓTICA IMUNITÁRIA. NO TERCEIRO CAPÍTULO DISCUTE-SE OS RESULTADOS DAS POLÍTICAS HIGIENISTAS DURANTE OS GOVERNOS DE PAES DE CARVALHO E AUGUSTO MONTENEGRO APURANDO OS RESULTADOS DE TAIS POLÍTICAS UTILIZANDO OS DECRETOS E LEIS SOBRE O ASSUNTO. CHEGA-SE, ENTÃO, À CONCLUSÃO DE QUE TAIS MEDIDAS, À LUZ DOS ACONTECIMENTOS HISTÓRICOS OCORRIDOS EM ÂMBITO MUNDIAL E LOCAL, FORAM NECESSÁRIAS PARA CONSERVAR A VIDA DAQUELES QUE SOBREVIVERAM AO FINAL DOS OITOCENTOS E INÍCIO DOS NOVECENTOS EM BELÉM DO PARÁ.",ALESSANDRA DA GAMA MALCHER GODINHO,SANDRO ALEX DE SOUZA SIMOES,CENTRO UNIVERSITÁRIO DO ESTADO DO PARÁ,"DIREITO, POLÍTICAS PÚBLICAS E DESENVOLVIMENTO REGIONAL","DIREITO, POLÍTICAS PÚBLICAS E DESENVOLVIMENTO REGIONAL",NORTE,PA,Português,8,Corpus 1,"O trabalho analisa instrumentos jurídicos de intervenção sanitária em Belém no final do século XIX e início do XX, com análise documental de relatórios da Intendência e decretos da época. O passado é tratado como objeto autônomo, com reconstituição do contexto histórico específico do período.",382
